Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Marzo,Abril
2015,2,Baja California,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,1,0
2015,2,Baja California,La vida y la Integridad corporal,Aborto,Aborto,Aborto,4,9
2015,2,Baja California,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,47,50
2015,2,Baja California,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0
2015,2,Baja California,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0
2015,2,Baja California,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0
2015,2,Baja California,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0
2015,2,Baja California,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,2
2015,2,Baja California,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,1,1
2015,2,Baja California,Libertad personal,Rapto,Rapto,Rapto,0,0
2015,2,Baja California,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,55,56
2015,2,Baja California,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,122,105
2015,2,Baja California,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0
2015,2,Baja California,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,15,5
2015,2,Baja California,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,56,49
2015,2,Baja California,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,37,35
2015,2,Baja California,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0
2015,2,Baja California,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,27,24
2015,2,Baja California,El patrimonio,Robo,Robo a casa habitación,Con violencia,36,29
2015,2,Baja California,El patrimonio,Robo,Robo a casa habitación,Sin violencia,1092,1018
2015,2,Baja California,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,16,22
2015,2,Baja California,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,1006,1034
2015,2,Baja California,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo de autopartes,Sin violencia,2,0
2015,2,Baja California,El patrimonio,Robo,Robo a transportista,Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,368,286
2015,2,Baja California,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,233,189
2015,2,Baja California,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo a negocio,Con violencia,305,351
2015,2,Baja California,El patrimonio,Robo,Robo a negocio,Sin violencia,172,152
2015,2,Baja California,El patrimonio,Robo,Robo de ganado,Con violencia,0,0
2015,2,Baja California,El patrimonio,Robo,Robo de ganado,Sin violencia,12,14
2015,2,Baja California,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0
